,,,
,,,
,,,
PC-PC,CHAVE 128 bits,String,
No Exp.,Tempo criptografia cliente:,Tempo decriptografia cliente em ms:,Tempo de envio entre os nos em ms:
77,5.9605E-06,5.9605E-06,0.0003650188
78,5.9605E-06,6.1989E-06,0.0004489422
79,3.0994E-06,4.0531E-06,0.0002398491
80,1.3113E-05,6.9141E-06,0.0010650158
81,8.1062E-06,6.9141E-06,0.0013420582
82,2.90871E-05,6.1989E-06,0.0004339218
83,5.9605E-06,5.9605E-06,0.0004019737
84,5.0068E-06,6.9141E-06,0.0003750324
85,5.0068E-06,5.0068E-06,0.0003731251
86,6.1989E-06,5.9605E-06,0.0004119873
87,5.0068E-06,5.0068E-06,0.0003631115
88,1.50204E-05,5.9605E-06,0.0007560253
89,1.21593E-05,3.8147E-06,0.0003600121
90,5.9605E-06,8.1062E-06,0.0004270077
91,5.0068E-06,5.9605E-06,0.0003991127
92,5.0068E-06,5.9605E-06,0.000743866
93,6.9141E-06,7.1526E-06,0.0004069805
94,5.9605E-06,7.8678E-06,0.0003211498
95,6.9141E-06,5.9605E-06,0.0004179478
96,6.9141E-06,6.9141E-06,0.000398159
97,6.9141E-06,6.9141E-06,0.0004661083
98,6.9141E-06,5.9605E-06,0.0011110306
99,7.1526E-06,6.9141E-06,0.001046896
100,3.0994E-06,3.0994E-06,0.0002858639
,,,
,,,
,,,
PC-PC,CHAVE 192 bits,String,
No Exp.,Tempo criptografia cliente:,Tempo decriptografia cliente em ms:,Tempo de envio entre os nos em ms:
1,5.07832E-05,5.0068E-06,0.0004160404
2,4.60148E-05,5.0068E-06,0.0004050732
3,5.19753E-05,3.8147E-06,0.000442028
4,4.69685E-05,4.0531E-06,0.0004589558
5,3.40939E-05,8.8215E-06,0.0004460812
6,4.3869E-05,2.861E-06,0.0004611015
7,5.19753E-05,4.0531E-06,0.0004661083
8,4.31538E-05,2.861E-06,0.0004060268
9,5.4121E-05,4.0531E-06,0.0004589558
10,3.50475E-05,3.8147E-06,0.0004580021
11,4.69685E-05,3.8147E-06,0.0004870892
12,5.19753E-05,4.0531E-06,0.0004799366
13,6.41346E-05,5.0068E-06,0.0003769398
14,4.69685E-05,5.0068E-06,0.0004210472
15,5.22137E-05,5.0068E-06,0.0004298687
16,4.72069E-05,3.8147E-06,0.0004580021
17,4.41074E-05,5.0068E-06,0.0003669262
18,4.1008E-05,4.0531E-06,0.0005369186
19,3.50475E-05,4.0531E-06,0.0004880428
20,3.38554E-05,5.0068E-06,0.0004940033
21,8.70228E-05,5.0068E-06,0.000412941
22,3.29018E-05,2.861E-06,0.0005140305
23,7.60555E-05,5.0068E-06,0.0004980564
24,3.09944E-05,2.861E-06,0.0004000664
25,3.09944E-05,3.0994E-06,0.0003910065
26,4.41074E-05,5.0068E-06,0.0004909039
27,5.91278E-05,1.00136E-05,0.0014398098
28,5.60284E-05,1.09673E-05,0.0005471706
29,4.69685E-05,5.0068E-06,0.0006690025
30,3.50475E-05,4.0531E-06,0.0004467964
31,4.29153E-05,4.0531E-06,0.0003669262
32,4.41074E-05,5.9605E-06,0.0010840893
33,4.48227E-05,5.0068E-06,0.0004091263
34,3.50475E-05,3.0994E-06,0.0004489422
35,4.1008E-05,4.0531E-06,0.0005171299
36,3.50475E-05,2.861E-06,0.0005960464
37,4.60148E-05,5.9605E-06,0.0006270409
38,3.91006E-05,4.0531E-06,0.0003769398
39,5.6982E-05,9.0599E-06,0.0006170273
40,3.40939E-05,1.09673E-05,0.0006780624
41,5.19753E-05,5.0068E-06,0.0011260509
42,3.50475E-05,2.861E-06,0.0005190372
43,1.00136E-05,9.0599E-06,0.0006330013
44,4.79221E-05,5.0068E-06,0.0004749298
45,6.19888E-05,5.0068E-06,0.0004880428
46,4.69685E-05,4.0531E-06,0.000524044
47,4.79221E-05,4.0531E-06,0.0005431175
48,5.6982E-05,5.0068E-06,0.0004839897
49,4.88758E-05,5.9605E-06,0.000451088
50,5.10216E-05,5.9605E-06,0.0004210472
51,3.60012E-05,4.0531E-06,0.0003819466
52,3.40939E-05,4.0531E-06,0.0004079342
53,4.50611E-05,5.0068E-06,0.0004358292
54,6.19888E-05,5.0068E-06,0.0011539459
55,5.6982E-05,5.0068E-06,0.0004379749
56,5.4121E-05,4.0531E-06,0.0004119873
57,4.91142E-05,5.0068E-06,0.0004138947
58,3.50475E-05,3.8147E-06,0.0004150867
59,3.60012E-05,4.0531E-06,0.0003149509
60,6.48499E-05,5.0068E-06,0.0005910397
61,3.98159E-05,4.0531E-06,0.0004220009
62,4.48227E-05,5.9605E-06,0.0004241467
63,3.48091E-05,4.0531E-06,0.0004451275
64,4.88758E-05,3.8147E-06,0.0004451275
65,5.10216E-05,5.0068E-06,0.0011270046
66,4.79221E-05,4.0531E-06,0.0011861324
67,4.50611E-05,5.9605E-06,0.0004091263
68,5.79357E-05,4.0531E-06,0.0004189014
69,5.38826E-05,5.0068E-06,0.0006680489
70,4.91142E-05,5.0068E-06,0.0003950596
71,3.60012E-05,3.0994E-06,0.0003950596
72,4.41074E-05,5.0068E-06,0.000387907
73,4.81606E-05,4.0531E-06,0.0004529953
74,4.69685E-05,3.0994E-06,0.0004251003
75,1.50204E-05,2.1458E-06,0.0002448559
76,3.40939E-05,4.0531E-06,0.0006239414
77,3.50475E-05,3.8147E-06,0.0004370213
78,3.29018E-05,2.1458E-06,0.000371933
79,4.88758E-05,4.0531E-06,0.0003991127
80,3.19481E-05,5.0068E-06,0.0003809929
81,4.19617E-05,5.9605E-06,0.000369072
82,4.48227E-05,5.0068E-06,0.0003750324
83,4.50611E-05,4.0531E-06,0.0004189014
84,4.79221E-05,4.0531E-06,0.0013320446
85,6.69956E-05,5.0068E-06,0.000592947
86,1.69277E-05,2.1458E-06,0.0001339912
