,,
,,
,,
PC-PC,CHAVE 128 bits,String
No Exp.,Tempo decriptografia server em ms:,Tempo criptografia server em ms:
40,7.79629E-05,5.29289E-05
41,5.6982E-05,4.79221E-05
42,3.60012E-05,3.19481E-05
43,3.8147E-05,1.88351E-05
44,4.00543E-05,3.19481E-05
45,6.00815E-05,3.19481E-05
46,7.60555E-05,5.88894E-05
47,5.98431E-05,4.41074E-05
48,4.60148E-05,3.21865E-05
49,6.91414E-05,5.10216E-05
50,7.10487E-05,4.98295E-05
51,4.19617E-05,3.21865E-05
52,4.1008E-05,3.21865E-05
53,7.60555E-05,5.10216E-05
54,4.00543E-05,3.29018E-05
55,4.91142E-05,3.19481E-05
56,4.1008E-05,3.19481E-05
57,6.19888E-05,5.07832E-05
58,4.1008E-05,3.21865E-05
59,3.60012E-05,2.90871E-05
60,5.88894E-05,5.79357E-05
61,5.4121E-05,3.19481E-05
62,6.19888E-05,5.10216E-05
63,4.60148E-05,3.19481E-05
64,4.1008E-05,3.09944E-05
65,5.50747E-05,4.60148E-05
66,7.89165E-05,8.4877E-05
67,6.19888E-05,4.91142E-05
68,4.1008E-05,3.19481E-05
69,6.60419E-05,4.19617E-05
70,5.38826E-05,4.29153E-05
71,3.60012E-05,2.81334E-05
72,5.50747E-05,4.60148E-05
73,4.00543E-05,3.19481E-05
74,3.60012E-05,2.7895E-05
75,2.69413E-05,2.28882E-05
76,4.19617E-05,7.10487E-05
77,4.00543E-05,3.19481E-05
78,5.60284E-05,2.88486E-05
79,3.60012E-05,2.7895E-05
80,5.60284E-05,4.3869E-05
81,5.60284E-05,4.3869E-05
82,6.10352E-05,4.50611E-05
83,8.29697E-05,4.3869E-05
84,5.50747E-05,4.60148E-05
85,4.79221E-05,3.69549E-05
86,1.90735E-05,1.19209E-05
87,3.29018E-05,2.31266E-05
88,4.1008E-05,2.7895E-05
89,4.00543E-05,2.7895E-05
90,4.1008E-05,2.81334E-05
91,3.60012E-05,2.81334E-05
